kind,hidden,trial,generation,prince,king,crowned,p10,median,p90,fell,mother,starved,nobles,read,fitness,rivals_crowned
none,32,2,275,48.2,44.2,36.0,20,26,37,54.4,32.6,884,+8.1,3.7,582.5,7.8
none,32,2,300,40.6,36.2,28.6,18,24,33,59.4,34.4,695,+6.7,6.5,489.5,10.0
none,32,2,325,49.0,45.0,41.2,18,22,30,53.8,28.4,722,+10.2,11.7,649.5,8.0
none,32,2,350,39.2,35.4,30.6,18,22,30,59.8,36.2,872,+11.3,9.0,506.7,9.3
none,32,2,375,53.4,47.0,41.2,19,24,34,50.2,30.4,822,+11.1,5.9,658.9,8.2
none,32,2,400,49.2,44.2,25.4,18,22,30,67.6,49.6,1862,-0.5,5.0,456.8,7.5
none,32,2,425,34.0,31.8,27.8,18,22,29,61.2,40.4,764,+4.9,9.0,447.8,10.6
none,32,2,450,49.0,43.2,37.4,19,24,34,54.8,32.8,995,+6.9,1.6,594.0,7.8
none,32,2,475,61.2,51.8,45.6,19,23,31,40.8,18.8,700,+16.8,2.2,741.8,7.3
none,32,2,500,52.6,46.2,42.4,18,22,28,48.0,31.2,714,+13.6,10.7,678.0,7.9
none,32,2,525,44.4,40.2,36.0,18,22,28,52.6,29.6,701,+10.2,12.4,585.8,9.2
none,32,2,550,43.6,38.4,35.2,19,22,28,55.4,36.0,960,+14.7,1.8,564.7,8.7
none,32,2,575,49.0,40.6,33.0,17,20,27,56.0,30.4,812,+7.1,2.1,567.2,9.3
none,32,2,599,52.2,46.6,38.4,18,22,30,54.6,37.0,910,+4.9,4.0,623.0,7.2
none,32,3,25,0.6,0.2,0.0,0,0,0,88.2,21.8,711,-5.1,29.2,38.8,14.5
none,32,3,50,15.2,10.8,7.6,31,38,47,80.0,34.8,1512,+0.0,9.9,142.1,12.1
none,32,3,75,18.8,15.6,12.8,27,35,46,71.6,29.0,1824,+4.3,2.5,186.7,11.8
none,32,3,100,32.4,27.8,23.6,23,29,37,65.8,30.6,973,+13.1,21.7,393.1,10.4
none,32,3,125,46.8,41.6,40.0,22,28,37,50.0,22.6,638,+16.5,17.2,617.8,7.8
none,32,3,150,47.6,42.2,39.4,22,28,40,49.0,18.4,577,+11.5,20.0,614.2,8.8
none,32,3,175,59.8,56.0,51.2,20,23,33,39.6,22.8,699,+14.6,15.7,786.4,7.5
none,32,3,200,52.0,45.8,39.0,20,24,33,48.0,28.6,786,+9.0,6.7,628.6,8.3
none,32,3,225,55.2,49.6,47.0,19,23,30,44.2,20.6,527,+12.5,2.6,737.8,7.9
none,32,3,250,50.6,46.0,40.0,19,23,31,47.4,26.4,713,+12.7,6.8,647.9,8.6
none,32,3,275,33.4,30.4,27.0,19,23,30,65.6,34.6,817,+5.8,1.2,438.7,10.8
none,32,3,300,45.2,40.6,37.8,20,23,31,51.2,33.6,623,+8.7,10.2,599.6,9.5
none,32,3,325,45.2,37.6,31.8,17,21,30,59.0,38.0,884,+10.8,2.6,543.8,8.5
none,32,3,350,57.4,50.8,47.8,19,22,30,39.6,21.2,736,+19.5,4.9,751.6,7.1
none,32,3,375,56.8,50.6,41.6,15,19,25,48.6,36.6,871,+11.2,7.5,690.7,7.9
none,32,3,400,58.6,54.8,51.2,19,22,29,36.8,16.2,516,+13.1,7.2,795.8,7.6
none,32,3,425,56.8,52.8,48.8,18,21,27,42.6,25.6,706,+12.2,7.4,761.0,7.3
none,32,3,450,64.2,59.0,54.0,17,21,27,36.4,17.4,598,+13.9,7.9,849.3,6.6
none,32,3,475,62.4,54.8,48.6,17,21,30,43.6,29.6,848,+11.9,9.3,772.4,6.5
none,32,3,500,50.4,45.0,40.4,19,22,31,49.2,30.2,1017,+13.8,20.5,640.8,7.1
none,32,3,525,54.6,48.2,37.8,19,22,28,47.8,22.8,752,+4.6,8.6,645.8,8.0
none,32,3,550,59.6,52.6,45.2,16,20,27,45.6,27.6,679,+7.6,12.2,740.3,7.2
none,32,3,575,61.0,53.4,47.6,18,22,27,42.6,22.2,809,+16.8,7.5,761.4,7.3
none,32,3,599,53.6,47.2,45.0,18,21,28,48.6,32.6,700,+13.2,7.8,707.5,7.5
none,32,4,25,0.0,0.0,0.0,0,0,0,94.2,30.4,715,-1.1,23.8,33.6,14.3
none,32,4,50,0.0,0.0,0.0,0,0,0,87.4,16.6,424,-3.8,14.0,58.0,13.5
none,32,4,75,0.0,0.0,0.0,0,0,0,76.6,10.8,238,-3.8,25.8,87.5,12.8
none,32,4,100,0.0,0.0,0.0,0,0,0,61.6,4.4,479,-5.6,28.7,106.8,11.7
none,32,4,125,0.0,0.0,0.0,0,0,0,68.4,1.8,132,-3.2,27.3,113.6,14.0
none,32,4,150,10.6,0.2,0.0,0,0,0,70.8,16.6,566,-4.7,31.7,128.0,12.8
none,32,4,175,16.6,13.8,12.0,47,58,76,66.8,23.8,762,+0.4,35.9,230.3,11.6
none,32,4,200,20.8,16.2,9.8,45,63,92,69.6,18.2,751,-0.6,33.5,213.5,11.4
none,32,4,225,24.8,23.4,22.0,45,57,77,60.2,21.6,720,+6.3,23.6,340.2,10.6
none,32,4,250,21.6,17.8,16.2,45,59,80,67.2,30.8,845,+4.0,19.4,279.4,10.8
none,32,4,275,16.2,15.0,12.6,41,54,71,68.2,26.4,775,+2.2,35.5,233.6,11.8
none,32,4,300,27.0,22.8,21.6,38,48,68,62.8,27.8,800,+3.3,17.4,352.9,10.9
none,32,4,325,31.0,28.0,27.0,35,50,73,54.6,18.2,564,+2.2,23.7,422.0,11.1
none,32,4,350,25.8,21.4,15.4,31,43,57,70.4,43.4,954,-3.6,20.6,292.5,11.1
none,32,4,375,32.8,31.2,31.0,28,35,51,52.2,21.2,511,+15.4,18.0,483.5,10.7
none,32,4,400,48.4,42.8,41.2,22,28,40,45.4,20.0,572,+13.1,14.6,640.7,9.3
none,32,4,425,46.4,35.6,30.6,18,22,31,55.8,37.8,932,+12.4,13.5,520.1,10.2
none,32,4,450,50.8,43.8,37.0,19,24,35,49.8,27.2,654,+8.4,13.9,613.5,9.2
none,32,4,475,40.2,33.8,31.0,23,29,41,53.0,15.8,513,+8.4,13.0,506.8,10.7
none,32,4,500,47.8,42.8,40.2,19,24,33,47.0,18.4,475,+8.2,13.1,639.8,9.0
none,32,4,525,59.0,51.4,42.8,18,24,36,41.2,21.0,717,+6.5,11.1,702.0,8.5
none,32,4,550,53.8,46.4,41.2,18,22,32,46.8,35.8,718,+12.3,12.8,664.6,8.4
none,32,4,575,54.6,49.0,41.2,18,24,35,47.4,29.8,765,+8.5,9.9,668.3,8.8
none,32,4,599,60.0,51.8,43.6,20,25,36,42.2,24.6,808,+11.5,9.9,703.9,7.6
none,32,5,25,0.0,0.0,0.0,0,0,0,93.8,11.6,959,-1.5,57.0,21.4,14.4
none,32,5,50,0.0,0.0,0.0,0,0,0,96.8,56.8,584,-1.2,24.1,32.0,13.3
none,32,5,75,22.0,17.2,14.0,31,41,57,67.8,15.2,771,+2.5,23.6,236.1,12.6
none,32,5,100,48.4,42.6,38.2,22,26,35,47.2,17.4,888,+10.2,12.1,590.9,9.4
none,32,5,125,63.4,60.4,50.4,21,26,33,40.2,22.4,842,+13.3,18.8,784.9,6.8
none,32,5,150,61.4,55.6,53.4,20,25,32,34.8,15.4,800,+15.6,16.2,796.0,7.0
none,32,5,175,65.8,62.6,56.2,20,24,33,33.6,26.4,854,+12.5,4.5,843.8,6.3
none,32,5,200,69.4,59.8,55.2,21,26,34,28.8,15.2,713,+14.1,11.7,849.5,7.5
none,32,5,225,70.8,64.2,55.2,16,20,27,35.6,17.4,867,+11.3,19.5,878.9,6.4
none,32,5,250,63.4,57.4,53.8,19,23,29,33.4,23.2,745,+17.3,23.1,822.6,6.8
none,32,5,275,59.4,54.6,49.2,19,23,28,38.0,19.0,763,+13.1,13.6,764.8,8.3
none,32,5,300,65.8,61.8,56.8,19,25,36,31.2,20.2,747,+14.7,3.7,867.3,7.0
none,32,5,325,67.4,61.6,55.4,17,21,27,33.8,20.0,907,+16.9,14.7,872.8,6.3
none,32,5,350,48.4,45.4,43.0,21,26,34,46.4,29.6,736,+8.9,3.1,645.0,8.1
none,32,5,375,66.4,57.6,51.6,20,25,31,30.8,16.4,879,+17.8,9.0,812.7,7.4
none,32,5,400,79.8,72.8,64.2,18,22,28,25.2,19.4,688,+14.3,19.6,1009.3,5.1
none,32,5,425,70.2,62.8,61.0,17,22,30,27.4,11.8,709,+18.5,15.6,931.9,5.5
none,32,5,450,73.0,68.0,61.2,17,21,28,30.0,18.8,723,+14.7,10.9,955.5,5.6
none,32,5,475,62.4,53.0,45.2,18,21,27,46.8,37.6,918,+11.2,12.2,737.5,7.2
none,32,5,500,59.2,54.2,50.8,20,25,32,37.4,26.6,794,+15.1,7.1,767.9,7.4
none,32,5,525,63.0,59.2,55.8,19,24,31,33.6,21.6,722,+12.2,15.2,842.1,6.4
none,32,5,550,59.0,47.2,46.8,19,23,31,43.8,31.0,1133,+18.9,9.3,707.7,6.8
none,32,5,575,60.6,56.8,51.4,18,22,31,39.6,21.0,690,+9.7,13.8,803.3,6.9
none,32,5,599,64.0,59.2,53.8,20,25,34,35.4,22.2,817,+12.3,8.9,818.0,6.8
none,32,6,25,0.0,0.0,0.0,0,0,0,94.4,31.6,855,-0.3,54.7,20.2,14.0
none,32,6,50,0.0,0.0,0.0,0,0,0,74.4,3.6,189,-2.1,34.9,80.9,13.0
none,32,6,75,0.0,0.0,0.0,0,0,0,80.4,0.6,239,-3.7,28.2,80.1,13.8
none,32,6,100,0.0,0.0,0.0,0,0,0,77.6,1.6,469,-4.2,22.6,68.3,14.7
none,32,6,125,0.0,0.0,0.0,0,0,0,77.4,0.8,419,-3.2,22.9,69.0,14.0
none,32,6,150,0.0,0.0,0.0,0,0,0,79.6,1.6,154,-3.3,21.2,85.1,13.9
none,32,6,175,2.2,0.0,0.0,0,0,0,82.2,0.8,164,-2.5,24.2,94.5,14.1
none,32,6,200,0.0,0.0,0.0,0,0,0,87.0,0.6,68,-2.2,20.3,86.0,14.8
none,32,6,225,14.0,8.0,6.6,34,46,86,79.2,21.4,546,+1.2,16.3,158.3,13.2
none,32,6,250,28.8,16.0,13.8,20,24,33,73.6,46.4,1302,+11.5,7.7,269.1,10.2
none,32,6,275,45.4,38.4,30.4,18,23,31,54.4,30.4,718,+9.2,10.5,528.0,9.9
none,32,6,300,44.6,30.4,26.0,18,22,32,62.6,36.0,1096,+8.8,10.7,456.9,9.6
none,32,6,325,46.8,43.8,39.0,19,23,28,48.4,21.8,659,+12.8,9.2,634.2,8.7
none,32,6,350,37.6,32.2,24.4,18,24,31,66.6,44.8,963,+3.3,10.1,430.0,10.4
none,32,6,375,46.4,38.6,34.6,19,24,33,52.4,24.4,682,+8.0,14.0,563.2,9.8
none,32,6,400,42.8,39.2,30.8,16,21,28,58.2,41.4,805,+4.3,8.1,524.6,9.1
none,32,6,425,51.2,44.8,39.6,17,22,29,50.4,30.0,713,+6.8,6.7,644.4,8.6
none,32,6,450,45.8,42.0,36.6,17,22,29,55.2,40.2,812,+6.3,6.2,588.4,9.2
none,32,6,475,45.4,41.8,38.6,19,23,30,54.2,34.2,760,+10.5,5.0,603.4,8.2
none,32,6,500,45.4,40.2,35.2,18,22,30,55.0,34.4,682,+8.7,6.4,575.1,9.3
none,32,6,525,38.6,36.6,32.4,17,22,32,60.2,41.4,706,+9.8,3.7,526.8,8.8
none,32,6,550,46.4,41.4,37.4,18,24,35,51.0,34.6,701,+9.9,6.0,599.6,9.0
none,32,6,575,49.2,44.0,41.0,20,25,36,47.8,24.2,673,+9.0,8.4,635.2,9.0
none,32,6,599,54.8,46.0,40.6,18,25,34,49.6,30.6,731,+13.8,10.0,657.9,8.3
none,32,7,25,1.2,1.0,0.4,82,96,96,89.8,34.4,516,-2.4,44.1,49.5,13.0
none,32,7,50,11.4,9.0,6.2,44,56,69,84.8,14.4,714,-2.4,0.6,133.5,13.4
none,32,7,75,17.0,15.6,13.8,37,44,65,73.0,18.0,785,+5.5,14.8,213.0,12.1
none,32,7,100,39.2,33.6,30.2,28,35,47,52.4,20.0,806,+7.0,23.5,462.8,10.8
none,32,7,125,52.0,35.0,31.8,19,25,35,58.4,33.0,1076,+10.2,14.8,528.7,8.1
none,32,7,150,61.4,55.6,49.2,21,25,31,40.4,18.6,952,+13.7,18.4,755.7,7.1
none,32,7,175,66.8,58.0,52.4,19,24,31,34.0,19.4,967,+17.1,12.3,808.2,6.3
none,32,7,200,54.0,44.6,41.6,21,26,36,44.0,14.8,783,+11.8,18.3,649.8,8.4
none,32,7,225,55.2,51.4,47.2,20,25,31,38.2,12.6,589,+15.6,7.2,734.9,7.8
none,32,7,250,61.0,59.0,56.2,21,26,35,30.2,12.4,525,+17.6,15.3,844.3,6.9
none,32,7,275,46.8,43.2,38.8,20,28,43,46.4,19.2,768,+8.8,6.5,590.6,9.2
none,32,7,300,58.4,54.0,49.2,20,25,35,34.6,9.4,459,+9.4,9.4,768.7,7.8
none,32,7,325,57.0,49.2,38.2,19,22,29,51.6,26.6,835,+4.5,24.8,646.4,8.6
none,32,7,350,58.4,52.2,47.2,19,24,32,37.6,11.8,695,+10.2,15.3,744.7,8.3
none,32,7,375,59.4,55.4,50.6,18,22,29,40.2,23.6,739,+12.2,22.1,783.8,7.2
none,32,7,400,73.6,68.2,55.0,17,22,31,34.0,22.8,801,+11.8,16.8,890.9,6.1
none,32,7,425,54.6,50.0,46.8,18,23,30,38.6,16.6,837,+14.1,15.0,731.6,8.0
none,32,7,450,63.8,61.0,54.0,17,23,31,30.8,15.0,757,+15.8,15.7,842.7,7.2
none,32,7,475,54.4,51.6,46.0,17,22,31,42.4,21.0,726,+12.0,10.4,729.1,8.0
none,32,7,500,67.2,60.8,53.4,16,20,27,34.4,16.4,791,+12.2,15.5,856.8,7.2
none,32,7,525,68.8,62.8,54.2,16,19,27,37.2,22.4,769,+12.7,9.5,871.9,6.2
none,32,7,550,46.4,43.4,38.2,17,21,31,42.2,19.8,788,+11.9,7.2,615.8,10.0
none,32,7,575,67.2,57.0,53.8,15,20,27,36.6,15.0,770,+13.6,13.0,851.0,6.8
none,32,7,599,52.8,45.6,42.8,16,20,31,49.0,34.2,840,+11.1,3.3,664.3,7.9
none,32,8,25,0.0,0.0,0.0,0,0,0,91.4,27.0,1340,-3.3,35.5,-1.8,14.2
none,32,8,50,0.0,0.0,0.0,0,0,0,83.2,1.4,682,-3.0,23.9,51.7,14.0
none,32,8,75,4.2,2.6,2.2,48,69,84,79.2,12.0,1174,+0.5,1.5,61.3,13.6
none,32,8,100,11.2,7.2,5.6,27,32,44,84.0,49.6,1089,+5.5,2.3,126.5,12.7
none,32,8,125,35.4,26.2,20.2,22,30,42,64.0,20.4,773,+8.6,2.3,368.4,10.9
none,32,8,150,50.0,41.2,38.8,23,29,42,51.2,23.6,789,+13.7,3.6,598.9,8.5
none,32,8,175,54.0,48.6,46.6,20,27,38,42.2,17.8,618,+14.6,12.3,710.3,7.7
none,32,8,200,51.8,38.8,29.4,18,24,32,62.6,44.6,1072,+4.8,3.1,514.6,8.4
none,32,8,225,67.6,55.2,47.8,20,27,38,38.4,21.4,742,+7.7,9.8,758.4,7.0
none,32,8,250,61.0,53.2,52.2,21,27,37,39.8,25.4,735,+11.4,5.9,775.9,6.6
none,32,8,275,54.6,48.0,43.6,21,27,39,43.4,25.4,818,+14.3,8.9,675.0,7.4
none,32,8,300,60.4,45.6,40.0,24,30,39,44.2,23.6,838,+8.6,28.1,639.5,8.6
none,32,8,325,62.6,52.6,43.6,18,24,33,47.2,31.0,1022,+4.8,23.1,705.0,7.2
none,32,8,350,58.6,43.4,40.0,25,32,42,47.6,33.4,1207,+20.3,15.8,618.4,7.7
none,32,8,375,66.0,52.4,51.4,20,26,35,42.4,29.2,990,+15.8,13.2,775.8,5.8
none,32,8,400,66.0,53.6,50.2,19,25,36,38.4,20.8,943,+10.8,15.5,772.7,6.8
none,32,8,425,63.4,54.4,49.4,19,24,34,36.8,16.2,831,+11.3,5.0,771.0,7.2
none,32,8,450,63.0,52.2,43.8,17,24,34,45.8,33.8,1085,+7.4,4.0,701.4,7.4
none,32,8,475,74.4,62.8,57.8,18,22,30,32.0,16.0,808,+13.3,10.7,903.8,6.3
none,32,8,500,68.2,54.2,46.4,16,22,31,42.2,23.6,900,+7.2,13.2,761.9,7.2
none,32,8,525,51.2,42.4,39.0,17,22,30,52.4,34.4,698,+9.7,14.5,632.9,8.3
none,32,8,550,66.0,53.4,49.8,18,22,29,36.6,19.0,704,+13.0,12.3,797.5,7.5
none,32,8,575,75.4,64.8,58.8,18,23,31,29.2,16.4,852,+14.3,15.4,916.2,6.2
none,32,8,599,62.2,55.8,52.2,19,23,32,36.2,17.2,935,+12.3,14.2,796.6,7.0
journal,32,1,25,0.0,0.0,0.0,0,0,0,91.0,28.2,751,-2.4,32.3,31.6,13.5
journal,32,1,50,4.0,3.2,1.8,35,48,66,89.2,30.0,438,-2.6,36.2,92.5,13.4
journal,32,1,75,37.0,20.4,15.0,26,36,54,72.2,34.6,1287,+4.4,40.1,289.9,10.4
journal,32,1,100,41.6,38.6,34.0,22,30,47,54.0,22.2,750,+11.6,38.9,530.8,9.2
journal,32,1,125,50.8,42.2,35.6,21,26,39,52.8,24.2,823,+5.2,39.4,582.4,8.4
journal,32,1,150,63.2,55.6,54.4,21,26,33,37.0,27.4,979,+18.8,32.4,800.0,6.4
journal,32,1,175,55.2,42.0,39.8,25,33,50,47.4,26.6,1109,+10.8,42.9,599.8,8.2
journal,32,1,200,55.0,46.0,40.6,21,27,36,45.2,28.0,1124,+9.4,46.4,631.8,7.5
journal,32,1,225,67.4,62.6,58.6,19,23,34,29.8,22.0,997,+14.3,32.2,875.3,5.8
journal,32,1,250,54.2,48.2,45.8,18,24,38,43.6,22.2,810,+11.7,32.5,700.3,8.2
journal,32,1,275,47.4,43.6,41.4,18,23,32,47.6,22.0,960,+12.4,25.3,627.1,9.0
journal,32,1,300,56.6,54.4,48.2,17,21,30,41.0,21.0,915,+9.4,5.2,748.5,7.5
journal,32,1,325,65.2,54.0,48.4,17,21,29,44.4,25.6,1048,+12.8,8.2,773.3,6.3
journal,32,1,350,72.0,63.4,57.2,17,22,29,34.6,20.0,883,+13.0,9.1,896.0,5.9
journal,32,1,375,67.4,58.0,53.0,18,23,32,35.8,24.6,1041,+14.0,4.0,814.1,6.9
journal,32,1,400,59.6,52.6,49.8,20,24,32,34.4,17.4,824,+14.5,3.2,768.6,7.7
journal,32,1,425,69.2,60.0,55.4,18,23,30,29.4,15.0,820,+17.5,1.5,868.2,6.1
journal,32,1,450,64.6,58.4,53.6,17,21,29,36.2,23.6,811,+11.2,3.1,835.3,7.0
journal,32,1,475,67.4,56.8,52.8,19,23,30,33.4,21.8,1082,+16.3,4.8,818.6,6.8
journal,32,1,500,67.8,63.0,56.8,20,24,32,28.2,14.2,777,+19.3,5.4,881.9,6.6
journal,32,1,525,59.4,53.8,48.2,19,23,29,40.6,27.2,905,+9.9,3.9,747.2,7.4
journal,32,1,550,70.0,60.6,55.6,18,23,30,32.2,15.4,861,+13.5,5.6,865.5,6.9
journal,32,1,575,61.6,50.2,47.4,19,23,31,39.2,16.8,1041,+18.1,4.6,744.6,7.0
journal,32,1,599,61.0,52.8,45.8,17,21,28,42.0,26.8,897,+10.9,2.7,742.6,7.6
journal,32,2,25,0.0,0.0,0.0,0,0,0,96.2,44.4,689,-0.6,26.0,29.3,13.3
journal,32,2,50,0.4,0.0,0.0,0,0,0,92.4,35.2,512,-1.6,28.8,55.5,13.0
journal,32,2,75,22.8,7.2,6.8,26,30,40,81.2,36.6,1148,+9.7,18.0,171.7,11.8
journal,32,2,100,36.8,22.2,21.2,22,28,38,65.2,31.6,813,+11.6,38.0,375.4,11.3
journal,32,2,125,48.8,30.2,29.0,20,24,33,59.0,38.2,1133,+13.7,23.3,483.8,9.2
journal,32,2,150,36.6,29.8,26.2,17,21,28,66.8,53.6,912,+6.9,26.0,442.7,10.1
journal,32,2,175,45.0,38.0,33.0,19,24,31,57.6,38.6,816,+9.5,16.2,545.4,9.4
journal,32,2,200,48.6,39.4,32.2,18,22,29,58.0,40.2,1150,+4.7,10.3,537.1,7.9
journal,32,2,225,52.0,44.8,43.0,21,26,36,45.0,21.6,750,+8.8,14.4,661.5,8.4
journal,32,2,250,56.6,49.6,44.2,18,22,30,45.8,34.2,708,+9.6,12.5,707.3,8.0
journal,32,2,275,41.8,34.8,33.0,19,24,33,54.6,31.8,787,+10.1,11.9,530.3,9.3
journal,32,2,300,48.6,45.4,43.8,20,27,37,48.2,34.6,800,+6.8,11.8,659.8,7.8
journal,32,2,325,49.8,44.0,40.6,19,23,29,48.0,33.0,886,+12.9,12.0,642.0,8.4
journal,32,2,350,39.0,36.4,34.2,18,22,29,57.4,40.6,805,+9.3,13.9,540.5,9.2
journal,32,2,375,54.2,48.4,45.0,19,24,30,46.4,30.6,764,+10.5,13.1,705.3,7.9
journal,32,2,400,51.6,43.0,38.2,18,23,31,52.0,37.8,852,+8.9,11.6,621.3,8.8
journal,32,2,425,52.6,44.8,40.8,19,22,29,48.4,32.6,779,+9.7,12.6,652.0,8.8
journal,32,2,450,52.0,47.0,44.0,18,23,30,46.2,26.2,807,+12.7,11.0,685.9,8.5
journal,32,2,475,53.2,47.6,45.6,19,23,29,44.2,23.2,790,+11.4,10.7,704.5,7.4
journal,32,2,500,44.0,40.4,36.8,19,23,31,56.8,33.6,754,+5.3,7.9,580.3,9.0
journal,32,2,525,59.6,53.2,47.6,18,23,31,39.6,22.8,911,+9.3,10.9,742.2,7.2
journal,32,2,550,64.4,52.8,49.6,18,22,28,39.8,22.2,731,+13.7,6.7,785.4,7.3
journal,32,2,575,61.6,57.0,53.4,19,23,31,35.4,18.4,582,+12.4,4.2,823.5,6.6
journal,32,2,599,59.2,52.6,50.0,20,23,28,38.8,21.4,762,+11.7,5.9,767.8,7.2
journal,32,3,25,0.0,0.0,0.0,0,0,0,93.2,19.4,950,-0.6,51.5,27.1,13.3
journal,32,3,50,0.0,0.0,0.0,0,0,0,82.8,8.4,298,-3.3,46.6,68.0,14.2
journal,32,3,75,0.0,0.0,0.0,0,0,0,76.0,12.4,387,-3.4,33.3,79.9,14.4
journal,32,3,100,5.0,0.6,0.2,92,92,92,84.2,18.4,463,-2.2,14.3,88.1,14.0
journal,32,3,125,16.0,10.6,5.8,29,43,63,78.6,30.6,816,-0.0,16.2,169.0,13.1
journal,32,3,150,16.2,12.6,10.8,33,50,77,77.2,34.6,815,-1.1,13.9,209.3,12.6
journal,32,3,175,13.0,9.6,9.2,30,40,58,73.4,29.4,631,+0.3,7.9,192.3,13.2
journal,32,3,200,18.0,12.6,9.2,28,40,60,74.6,29.6,908,-2.1,11.0,207.6,12.8
journal,32,3,225,23.4,18.2,14.4,32,42,52,69.6,30.4,1123,-4.3,3.7,271.7,11.5
journal,32,3,250,24.4,16.6,12.4,28,39,62,76.8,36.0,1046,-4.1,9.0,248.2,11.6
journal,32,3,275,23.0,15.6,13.4,28,42,59,71.2,36.6,963,-3.1,9.3,249.5,11.7
journal,32,3,300,24.6,18.8,16.0,28,39,51,67.8,36.0,1100,-4.3,6.8,287.0,11.1
journal,32,3,325,29.0,20.2,14.8,25,34,56,71.0,51.4,1311,-1.1,8.9,276.2,11.2
journal,32,3,350,36.6,27.2,22.4,25,31,43,64.8,40.2,1281,+3.2,3.4,382.9,9.6
journal,32,3,375,30.4,23.4,21.2,24,30,39,68.8,41.0,1256,+5.8,5.9,342.8,10.7
journal,32,3,400,36.2,30.6,27.0,22,25,32,62.0,41.8,1097,+8.5,7.7,441.4,9.3
journal,32,3,425,32.8,30.6,28.4,22,26,31,60.6,39.6,902,+9.0,7.9,453.8,9.6
journal,32,3,450,35.4,26.2,23.4,19,24,31,65.2,41.6,1063,+9.7,12.1,400.5,10.2
journal,32,3,475,38.6,34.8,31.8,19,22,29,59.6,39.2,863,+8.6,9.1,509.9,9.7
