hidden,trial,generation,prince,king,crowned,p10,median,p90,fell,mother,starved,nobles,read,fitness,rivals_crowned,kind
32,3,80,31.4,12.6,7.4,28,42,58,91.8,53.8,1860,+2.4,5.8,174.0,26.9,recall
32,3,90,22.6,9.8,6.8,33,42,58,93.0,47.4,1360,-1.2,26.0,165.3,26.9,recall
32,3,99,27.6,13.6,7.0,32,45,67,92.6,49.2,1471,+2.8,29.4,172.3,25.6,recall
32,4,10,0.0,0.0,0.0,0,0,0,100.0,11.0,1144,-5.4,62.8,33.5,27.4,recall
32,4,20,0.0,0.0,0.0,0,0,0,100.0,47.0,726,-2.6,61.1,43.8,28.5,recall
32,4,30,10.6,5.4,3.4,33,42,51,96.6,32.4,2193,-3.4,39.3,36.7,30.3,recall
32,4,40,20.2,13.8,5.8,30,35,41,94.2,37.4,1465,-3.2,24.7,133.9,29.3,recall
32,4,50,21.8,15.4,10.2,21,29,35,89.8,45.2,3344,-1.7,33.9,94.0,25.4,recall
32,4,60,37.4,25.6,18.4,26,34,43,81.6,43.8,1187,+2.2,43.0,324.2,25.6,recall
32,4,70,39.0,30.2,23.0,23,28,51,77.0,41.2,1150,+6.2,15.0,389.8,25.4,recall
32,4,80,39.0,24.4,11.4,18,29,43,88.6,63.4,1306,-3.0,9.4,263.1,27.0,recall
32,4,90,34.4,23.6,19.6,23,30,40,80.2,49.4,1426,+12.4,18.1,331.9,24.2,recall
32,4,99,47.0,41.0,39.2,20,27,35,60.8,25.2,813,+14.5,20.2,603.1,20.8,recall
32,5,10,0.0,0.0,0.0,0,0,0,100.0,32.2,653,-4.9,27.9,51.7,28.6,recall
32,5,20,0.0,0.0,0.0,0,0,0,98.8,24.8,548,-2.6,75.6,60.6,27.2,recall
32,5,30,0.4,0.2,0.2,60,60,60,99.8,36.0,620,-4.7,33.2,61.9,28.8,recall
32,5,40,1.8,0.8,0.6,48,58,66,99.0,36.8,711,-4.0,48.5,64.8,28.2,recall
32,5,50,4.4,2.6,1.8,24,49,56,98.2,46.2,824,+0.8,67.3,84.9,27.1,recall
32,5,60,5.2,3.0,1.2,34,67,81,98.0,51.2,905,-0.7,43.1,82.5,29.1,recall
32,5,70,4.2,4.2,3.2,41,59,70,96.8,46.4,850,+2.0,53.8,96.4,27.9,recall
32,5,80,17.0,10.0,7.0,27,37,58,93.0,52.6,1203,+1.8,29.4,162.3,26.0,recall
32,5,90,10.2,6.8,3.2,26,36,42,96.4,59.6,1193,+1.2,34.8,108.1,27.5,recall
32,5,99,10.0,5.4,4.6,26,32,43,95.4,62.2,1145,+3.6,12.9,122.2,27.7,recall
32,6,10,0.0,0.0,0.0,0,0,0,100.0,38.4,784,-1.1,68.4,31.1,27.4,recall
32,6,20,1.0,0.2,0.0,0,0,0,100.0,39.0,703,-2.7,57.7,42.2,30.0,recall
32,6,30,1.6,0.6,0.2,37,37,37,99.8,35.6,560,-2.9,59.6,48.8,28.2,recall
32,6,40,29.8,21.2,18.8,25,36,52,81.2,26.6,1215,+4.8,42.5,293.8,27.3,recall
32,6,50,27.6,23.0,17.2,20,24,35,82.8,44.2,932,+0.0,44.5,309.7,24.4,recall
32,6,60,47.6,43.0,36.6,21,28,35,63.4,26.8,908,+8.5,44.7,570.9,23.0,recall
32,6,70,50.2,39.2,33.0,23,29,36,67.0,29.2,980,+6.0,18.3,531.2,24.2,recall
32,6,80,33.2,29.4,24.0,20,26,35,76.0,46.0,1058,+1.1,23.6,393.6,23.3,recall
32,6,90,56.4,42.8,36.6,20,26,36,63.4,30.2,959,+9.2,15.9,596.2,26.6,recall
32,6,99,52.2,37.6,17.4,22,27,41,82.4,46.4,1874,-2.1,16.7,361.5,26.4,recall
32,7,10,0.0,0.0,0.0,0,0,0,100.0,26.8,800,-0.2,82.2,33.0,27.2,recall
32,7,20,0.4,0.0,0.0,0,0,0,99.8,23.2,901,-1.3,80.6,22.8,27.0,recall
32,7,30,1.6,1.2,1.0,52,71,79,99.0,30.8,692,-2.7,54.7,51.2,27.5,recall
32,7,40,2.6,0.6,0.2,61,61,61,99.4,19.2,1186,-4.6,56.4,39.6,29.2,recall
32,7,50,8.6,6.6,4.6,31,42,61,95.4,45.4,961,+3.8,37.7,128.4,28.4,recall
32,7,60,41.2,33.4,26.0,21,25,32,74.0,30.8,3198,+4.3,40.0,331.8,22.3,recall
32,7,70,47.2,42.6,40.0,20,25,40,60.0,20.6,783,+8.0,47.6,606.6,22.9,recall
32,7,80,50.6,45.4,39.4,20,26,39,60.6,17.6,688,+6.8,40.7,622.4,23.4,recall
32,7,90,50.0,45.8,41.8,21,29,39,58.0,14.8,734,+9.5,23.8,636.5,20.8,recall
32,7,99,55.0,46.8,44.8,19,23,29,55.2,21.2,725,+15.6,33.7,699.1,18.0,recall
32,8,10,0.0,0.0,0.0,0,0,0,99.8,18.0,1453,-3.5,52.1,9.4,28.0,recall
32,8,20,0.4,0.0,0.0,0,0,0,100.0,36.4,1409,-3.1,32.2,17.4,29.8,recall
32,8,30,7.6,5.0,2.4,33,41,50,97.6,49.8,814,-4.2,22.3,92.0,30.0,recall
32,8,40,26.8,19.8,17.8,30,35,51,82.2,39.4,954,+5.3,9.4,294.7,26.3,recall
32,8,50,38.8,30.2,26.2,33,43,54,73.8,24.4,897,+14.1,33.6,412.7,25.1,recall
32,8,60,38.4,33.4,27.0,26,29,36,73.0,31.2,1260,+10.8,25.9,431.6,23.4,recall
32,8,70,50.2,45.4,40.8,22,28,36,59.2,15.8,614,+10.2,37.0,631.9,20.4,recall
32,8,80,50.4,41.0,36.6,19,23,31,63.4,37.4,793,+8.5,24.2,601.1,24.0,recall
32,8,90,59.0,55.8,53.4,20,24,34,46.6,10.0,419,+15.9,22.1,813.6,17.4,recall
32,8,99,56.6,47.2,43.4,20,24,32,56.6,28.6,832,+18.6,25.5,689.2,20.2,recall
32,1,10,0.6,0.0,0.0,0,0,0,99.8,24.4,895,-5.4,74.6,37.4,29.0,told
32,1,20,0.4,0.2,0.0,0,0,0,98.8,25.2,1192,-0.3,58.9,7.6,27.4,told
32,1,30,0.4,0.2,0.2,63,63,63,98.8,36.2,557,-1.1,70.5,54.2,28.8,told
32,1,40,7.0,4.4,2.2,28,37,43,97.8,45.6,876,-3.1,35.3,84.7,30.2,told
32,1,50,27.0,15.6,13.6,26,32,43,86.4,46.2,1259,+6.4,26.1,252.6,26.2,told
32,1,60,29.8,23.6,20.4,23,31,42,79.6,45.8,1283,+4.8,29.3,324.9,26.5,told
32,1,70,34.2,28.0,25.2,23,29,38,74.8,43.2,908,+7.5,25.9,404.8,24.8,told
32,1,80,55.4,48.6,40.8,24,31,42,59.2,24.2,834,+7.6,30.5,636.1,25.5,told
32,1,90,42.6,34.8,31.6,23,27,34,68.4,28.6,868,+13.9,26.8,510.0,24.4,told
32,1,99,51.8,50.0,46.2,21,26,32,53.8,17.0,847,+12.9,29.6,699.0,19.4,told
32,2,10,0.0,0.0,0.0,0,0,0,99.4,32.2,878,-2.6,66.9,40.1,28.4,told
32,2,20,0.0,0.0,0.0,0,0,0,100.0,58.4,784,-5.7,21.1,30.5,27.7,told
32,2,30,8.0,4.8,3.6,29,38,52,96.4,50.8,980,-0.6,48.7,94.0,28.6,told
32,2,40,13.6,7.0,3.8,28,37,50,96.2,49.2,909,-1.2,28.1,118.5,27.2,told
32,2,50,45.6,37.4,32.6,22,30,37,67.4,23.0,721,+2.0,28.1,523.1,21.7,told
32,2,60,41.2,36.2,33.0,21,25,34,67.0,28.2,899,+8.1,22.9,519.0,21.4,told
32,2,70,35.0,31.4,27.6,23,29,39,72.4,32.8,1004,+4.7,23.5,428.3,24.4,told
32,2,80,47.0,37.4,30.8,21,27,36,69.0,33.2,939,+7.5,25.7,508.2,22.0,told
32,2,90,56.0,42.4,39.4,19,25,35,60.6,29.6,1115,+16.0,23.4,625.3,19.3,told
32,2,99,49.2,45.6,40.4,17,21,28,59.6,22.6,506,+9.4,20.5,655.4,23.3,told
32,3,10,0.0,0.0,0.0,0,0,0,99.8,30.4,532,-0.2,39.6,47.4,26.8,told
32,3,20,1.4,0.4,0.4,39,93,93,99.6,59.0,883,-1.5,36.0,42.5,27.4,told
32,3,30,5.6,3.6,2.4,28,45,68,97.4,56.8,1030,+1.4,61.1,71.7,28.3,told
32,3,40,8.0,4.2,3.2,35,45,66,96.8,40.6,824,-3.0,26.4,88.1,29.0,told
32,3,50,23.6,20.8,14.8,27,34,52,85.2,40.0,1029,-1.2,33.1,252.0,24.5,told
32,3,60,26.6,15.8,11.2,22,27,36,88.8,47.4,1015,+0.3,25.9,236.9,28.6,told
32,3,70,38.6,31.4,29.2,23,28,46,70.8,24.6,727,+13.8,25.1,467.2,22.3,told
32,3,80,37.8,14.4,12.2,29,37,48,87.8,52.8,2176,+14.4,7.3,237.3,20.6,told
32,3,90,55.2,48.6,41.8,19,23,30,58.2,21.0,654,+8.4,24.4,677.5,18.6,told
32,3,99,40.6,33.8,22.6,20,24,30,77.4,49.2,1133,+7.2,26.4,413.0,20.1,told
32,4,10,0.0,0.0,0.0,0,0,0,100.0,38.6,687,-0.3,28.4,38.1,26.2,told
32,4,20,0.0,0.0,0.0,0,0,0,99.0,6.8,959,-0.5,43.9,31.0,27.1,told
32,4,30,0.4,0.2,0.0,0,0,0,99.2,34.4,1063,-5.8,25.4,36.2,29.7,told
32,4,40,6.4,4.8,3.0,33,43,51,97.0,52.6,1406,-2.6,27.4,65.8,28.4,told
32,4,50,15.4,11.4,8.0,24,28,33,92.0,50.6,1241,+5.1,24.5,157.0,27.2,told
32,4,60,26.4,18.0,14.8,20,27,39,85.2,49.6,1193,+7.1,25.3,269.3,26.0,told
32,4,70,22.4,14.8,11.4,22,28,46,88.6,56.2,1484,+13.2,24.2,214.4,25.8,told
32,4,80,41.6,34.6,29.8,19,24,40,70.2,32.4,1001,+7.5,11.7,482.2,23.2,told
32,4,90,45.8,39.8,37.0,17,22,31,63.0,28.6,722,+10.9,6.5,592.9,21.7,told
32,4,99,26.0,16.4,11.0,19,25,37,89.0,57.0,1375,+10.0,24.3,231.5,25.5,told
32,5,10,0.0,0.0,0.0,0,0,0,99.6,31.2,585,-3.6,57.7,55.7,29.4,told
32,5,20,1.4,0.0,0.0,0,0,0,99.2,31.2,844,-3.8,39.2,59.4,29.2,told
32,5,30,2.8,0.8,0.8,43,57,98,99.2,50.8,804,-4.0,57.5,44.3,28.0,told
32,5,40,21.0,10.8,5.4,23,33,42,94.6,54.6,1038,-3.6,23.2,150.9,29.4,told
32,5,50,41.2,33.4,25.0,20,26,34,75.0,42.4,1161,+10.4,20.7,431.0,25.9,told
32,5,60,40.6,33.8,25.8,18,22,32,74.2,44.0,1112,+6.8,12.0,446.0,24.8,told
32,5,70,39.6,31.2,17.6,18,26,41,82.4,48.6,1236,+2.2,31.4,348.6,27.0,told
32,5,80,28.2,22.8,17.2,23,34,54,82.8,47.8,1218,+5.9,20.4,279.9,24.9,told
32,5,90,40.8,36.0,28.8,20,24,30,71.2,45.0,1094,+8.8,22.2,475.0,24.8,told
32,5,99,52.0,46.6,43.4,18,22,29,56.6,34.2,914,+18.9,15.9,688.3,20.6,told
32,6,10,0.0,0.0,0.0,0,0,0,100.0,4.4,1412,-0.7,42.0,8.2,27.0,told
32,6,20,0.0,0.0,0.0,0,0,0,95.4,11.4,679,-4.3,44.5,64.8,28.4,told
32,6,30,1.4,0.4,0.0,0,0,0,100.0,42.4,855,-4.5,59.3,59.6,29.8,told
32,6,40,0.2,0.2,0.2,64,64,64,99.0,31.8,942,-0.4,73.1,30.9,27.4,told
32,6,50,7.2,3.6,1.4,29,56,77,98.6,42.6,757,-2.9,27.5,83.8,29.6,told
32,6,60,22.2,10.2,6.4,29,39,51,93.6,47.8,1136,+1.7,31.4,161.9,28.0,told
32,6,70,38.6,21.8,16.4,25,32,43,83.6,41.8,1611,+0.4,30.3,290.7,26.2,told
32,6,80,31.0,26.4,22.2,19,24,31,77.8,44.0,951,+2.4,29.2,376.6,26.2,told
32,6,90,40.6,32.0,29.8,20,28,40,70.2,39.0,1121,+10.6,27.2,471.8,21.3,told
32,6,99,49.6,44.6,40.6,22,28,35,59.4,21.2,926,+14.1,24.2,618.2,20.0,told
32,7,10,0.0,0.0,0.0,0,0,0,100.0,49.0,787,-3.0,42.6,35.4,27.4,told
32,7,20,0.2,0.0,0.0,0,0,0,100.0,27.2,992,-1.9,64.1,18.2,27.0,told
32,7,30,15.8,9.4,4.6,25,37,45,95.4,47.0,1006,-1.6,38.8,122.4,28.1,told
32,7,40,30.6,21.6,14.2,28,35,61,85.6,28.2,1025,+0.6,52.1,263.9,28.6,told
32,7,50,44.6,39.0,35.0,23,29,41,65.0,28.4,764,+9.8,30.7,542.9,26.5,told
32,7,60,34.0,27.6,25.6,20,26,37,74.4,45.2,1002,+13.4,37.5,415.6,25.1,told
32,7,70,46.0,35.8,33.6,22,30,46,66.4,32.2,970,+19.7,44.6,530.0,21.9,told
32,7,80,46.4,37.4,29.6,20,26,37,70.4,47.4,1287,+6.2,39.3,490.7,19.3,told
32,7,90,48.6,44.8,39.8,20,25,36,60.2,31.0,791,+9.5,29.8,621.4,24.0,told
32,7,99,59.6,52.8,50.0,22,28,40,50.0,21.6,832,+20.1,24.1,754.1,19.1,told
32,8,10,0.0,0.0,0.0,0,0,0,99.6,53.2,846,-1.3,30.5,25.1,27.2,told
32,8,20,1.0,0.0,0.0,0,0,0,99.6,29.0,583,-1.9,50.2,54.8,28.5,told
32,8,30,1.6,1.2,1.0,60,69,80,98.8,29.2,1047,-2.6,25.6,45.4,27.9,told
32,8,40,4.4,3.2,2.0,33,48,59,98.0,33.6,581,-3.5,29.4,97.3,30.0,told
32,8,50,11.2,7.6,5.2,25,39,60,94.8,62.2,1572,+5.3,33.0,127.2,26.3,told
32,8,60,18.6,10.6,5.6,30,49,56,94.0,45.8,1329,+2.1,41.3,152.8,25.6,told
32,8,70,16.0,7.2,4.2,25,43,60,95.6,48.4,1122,-1.8,25.5,129.5,27.5,told
32,8,80,3.0,1.2,1.0,31,34,49,98.8,60.2,1238,+0.1,49.4,58.5,27.7,told
32,8,90,22.6,14.0,10.2,29,34,52,88.8,43.0,1112,-1.4,27.5,209.7,26.2,told
32,8,99,16.0,10.0,6.4,32,49,62,93.6,55.2,1755,+3.2,32.4,134.0,28.5,told
