hidden,trial,generation,prince,king,crowned,p10,median,p90,fell,mother,starved,nobles,read,fitness,rivals_crowned,breed
32,7,50,1.2,0.0,0.0,0,0,0,100.0,37.6,889,-6.0,53.2,42.3,27.2,0.1
32,7,75,3.0,0.4,0.0,0,0,0,100.0,47.8,695,-5.4,26.2,56.0,27.8,0.1
32,7,100,7.0,3.8,1.8,26,40,58,98.2,38.2,680,-4.4,36.5,84.0,28.6,0.1
32,7,125,18.0,11.8,5.4,28,38,47,94.6,42.8,938,-4.0,41.0,145.0,27.5,0.1
32,7,150,35.2,28.8,17.4,28,35,46,82.6,36.6,1103,-0.4,36.0,318.3,26.7,0.1
32,7,175,43.0,34.8,30.0,28,36,44,70.0,24.2,803,+5.6,40.5,465.0,22.8,0.1
32,7,200,47.6,41.6,38.0,23,29,39,62.0,24.8,714,+8.1,25.4,592.0,20.0,0.1
32,7,225,44.4,40.4,35.6,21,28,35,64.4,19.4,1096,+5.9,27.7,545.9,18.6,0.1
32,7,250,52.6,50.0,47.8,19,24,33,52.2,10.2,553,+9.7,25.9,732.1,17.7,0.1
32,7,275,49.8,46.2,39.0,19,24,32,61.0,24.0,989,+9.0,32.1,621.8,18.6,0.1
32,7,299,58.8,56.0,48.2,21,29,36,51.8,14.6,1011,+4.7,29.5,728.2,18.1,0.1
32,8,25,0.0,0.0,0.0,0,0,0,99.6,6.2,1259,-3.4,72.5,25.4,28.7,0.1
32,8,50,0.0,0.0,0.0,0,0,0,100.0,14.6,959,-4.3,53.6,45.1,29.3,0.1
32,8,75,0.0,0.0,0.0,0,0,0,100.0,21.4,860,-5.1,60.8,48.3,26.5,0.1
32,8,100,0.6,0.0,0.0,0,0,0,98.6,37.2,619,-3.8,54.1,64.7,28.1,0.1
32,8,125,1.6,0.2,0.0,0,0,0,99.6,37.6,637,-4.1,53.2,67.0,29.0,0.1
32,8,150,1.4,1.0,0.4,49,53,53,99.4,36.0,787,-3.5,49.1,63.5,27.8,0.1
32,8,175,9.4,2.8,1.6,44,56,79,98.4,42.2,1178,-5.9,45.3,76.9,29.4,0.1
32,8,200,8.0,3.6,1.8,50,61,67,98.2,47.0,1672,-5.0,37.0,45.6,29.8,0.1
32,8,225,18.6,13.4,9.4,42,52,58,90.6,41.6,1643,-2.3,40.1,146.3,29.7,0.1
32,8,250,31.4,26.8,21.2,25,31,44,78.8,31.2,1272,+4.4,31.4,326.6,28.7,0.1
32,8,275,44.2,41.6,36.8,23,27,32,63.2,27.6,1142,+9.2,27.0,549.4,27.1,0.1
32,8,299,40.4,38.6,35.2,21,27,34,64.8,36.6,1408,+10.2,26.5,518.9,25.1,0.1
32,1,25,2.0,0.8,0.4,50,59,59,99.6,27.0,957,-4.7,66.5,38.0,29.2,0.3
32,1,50,27.2,18.2,15.0,30,38,56,84.4,37.2,711,+3.4,36.9,270.6,28.1,0.3
32,1,75,33.4,25.0,18.2,30,38,51,81.8,38.8,1457,+17.6,21.8,318.2,23.5,0.3
32,1,100,60.0,32.8,29.8,19,28,39,70.2,45.2,2032,+26.1,38.3,493.7,19.6,0.3
32,1,125,56.0,52.2,49.4,19,23,32,50.6,19.8,951,+14.8,39.1,742.3,19.0,0.3
32,1,150,65.0,60.2,54.0,17,21,30,45.8,17.4,715,+10.0,35.4,852.3,19.9,0.3
32,1,175,58.4,57.6,56.2,18,23,37,43.8,10.0,893,+18.4,30.6,819.0,19.3,0.3
32,1,200,60.6,60.4,59.8,17,20,29,40.2,5.8,775,+12.3,21.3,882.1,21.1,0.3
32,1,225,50.6,47.6,42.4,20,27,40,57.6,30.8,988,+8.3,18.6,633.9,25.9,0.3
32,1,250,49.6,46.0,44.0,20,25,35,56.0,26.4,821,+13.3,22.7,663.0,23.2,0.3
32,1,275,63.8,57.8,48.4,17,21,31,51.6,29.0,698,+8.3,36.8,788.9,21.7,0.3
32,1,299,62.0,57.8,56.0,18,23,32,44.0,17.6,814,+15.1,15.6,842.9,16.7,0.3
32,2,25,6.0,2.0,1.4,41,54,74,98.4,29.6,1150,-2.1,60.8,53.8,28.7,0.3
32,2,50,48.6,30.2,28.0,22,28,38,72.0,36.8,1327,+16.7,18.2,457.5,20.0,0.3
32,2,75,48.6,37.8,35.8,21,26,32,64.2,21.8,749,+14.6,13.7,568.8,20.6,0.3
32,2,100,49.0,35.4,33.4,19,25,32,66.6,28.6,1048,+17.8,6.9,537.9,22.6,0.3
32,2,125,50.6,38.2,34.2,21,26,36,65.8,33.4,1120,+14.5,2.4,553.8,21.7,0.3
32,2,150,52.8,29.4,27.2,23,29,38,72.8,41.0,1697,+21.1,9.8,451.7,21.0,0.3
32,2,175,56.0,52.0,48.2,20,25,36,51.8,19.4,626,+13.4,15.7,735.6,19.5,0.3
32,2,200,44.4,31.8,31.2,17,22,29,68.8,35.6,935,+17.5,15.6,516.7,21.5,0.3
32,2,225,55.6,50.0,44.4,21,26,38,55.6,18.6,770,+14.5,11.2,691.1,25.4,0.3
32,2,250,55.8,44.8,41.8,19,24,37,58.2,27.4,880,+16.3,18.7,657.9,22.1,0.3
32,2,275,53.0,47.6,41.0,16,19,26,59.0,26.8,732,+11.9,7.4,679.1,25.3,0.3
32,2,299,56.4,47.2,44.0,17,21,28,56.0,21.4,788,+16.0,4.3,702.7,20.1,0.3
32,3,25,2.8,2.8,2.2,69,77,95,96.8,36.6,563,-1.7,68.6,67.9,27.6,0.3
32,3,50,46.2,35.4,33.2,28,37,55,66.8,26.6,860,+7.7,42.7,495.2,22.6,0.3
32,3,75,52.8,42.8,36.8,19,24,30,63.2,32.4,1099,+11.1,4.1,597.7,21.4,0.3
32,3,100,51.6,39.6,34.8,20,25,35,65.2,41.6,1310,+12.3,5.0,564.2,20.0,0.3
32,3,125,50.0,43.6,39.6,20,25,34,60.4,35.6,1165,+16.8,10.9,617.5,21.1,0.3
32,3,150,53.8,46.6,39.2,21,26,42,60.8,30.8,795,+10.0,8.0,633.0,21.6,0.3
32,3,175,41.4,36.2,28.4,18,22,30,71.6,47.2,1194,+11.5,2.4,478.3,21.4,0.3
32,3,200,56.4,54.0,48.2,17,20,27,51.8,31.2,679,+10.5,2.6,757.2,19.0,0.3
32,3,225,51.4,47.8,42.6,19,23,31,57.4,35.4,1045,+10.9,8.0,667.4,17.9,0.3
32,3,250,47.6,40.8,37.8,21,25,37,62.2,33.6,1183,+20.8,3.3,580.6,21.0,0.3
32,3,275,47.8,42.0,35.8,19,24,35,64.2,47.6,1081,+13.2,2.0,571.6,20.0,0.3
32,3,299,58.0,57.6,54.4,18,23,30,45.6,23.8,606,+15.1,4.4,828.4,19.0,0.3
32,4,25,3.6,2.6,1.2,35,42,55,98.8,42.2,1020,-5.1,35.3,58.2,28.3,0.3
32,4,50,43.6,37.4,35.0,21,25,37,65.0,20.6,800,+9.5,33.6,540.1,25.9,0.3
32,4,75,52.6,43.4,40.4,24,30,50,59.6,22.6,966,+12.8,31.2,600.8,22.4,0.3
32,4,100,70.4,64.2,61.6,18,23,32,38.4,27.4,999,+19.2,14.1,913.6,19.7,0.3
32,4,125,62.6,59.4,57.8,19,24,38,42.2,11.6,839,+13.5,23.3,842.6,20.1,0.3
32,4,150,70.2,48.6,35.4,20,28,36,64.6,47.0,1444,+7.1,11.5,609.0,24.5,0.3
32,4,175,68.8,67.6,64.6,22,27,34,35.4,9.0,808,+17.2,13.6,937.0,19.0,0.3
32,4,200,57.4,50.8,48.0,18,23,32,52.0,30.6,791,+13.2,20.7,749.6,20.7,0.3
32,4,225,73.8,71.8,70.0,16,20,28,30.0,13.4,718,+19.6,6.6,1048.5,17.4,0.3
32,4,250,66.6,63.4,59.4,15,21,33,40.4,22.0,628,+12.7,16.0,912.3,20.1,0.3
32,4,275,78.2,74.6,68.8,20,26,36,31.2,16.0,716,+14.4,27.9,1025.7,17.5,0.3
32,4,299,68.4,64.0,61.2,18,25,34,38.8,14.4,591,+17.5,10.6,924.0,19.7,0.3
32,5,25,2.4,1.0,0.4,55,70,70,99.4,39.0,641,-4.0,34.6,53.0,28.8,0.3
32,5,50,25.2,17.2,10.4,23,29,35,89.6,37.4,845,-1.1,10.7,230.1,26.8,0.3
32,5,75,57.2,51.6,43.2,21,26,36,56.8,31.0,1273,+16.6,12.5,672.4,16.9,0.3
32,5,100,35.4,29.6,24.8,20,26,34,75.2,46.8,2247,+6.3,10.5,366.4,23.4,0.3
32,5,125,59.6,46.0,31.2,20,26,41,68.8,40.2,1861,+3.6,22.1,526.4,21.6,0.3
32,5,150,46.4,42.8,40.8,20,27,44,59.2,43.2,788,+10.4,19.5,612.0,19.0,0.3
32,5,175,53.8,47.4,45.0,20,26,36,55.0,33.4,1191,+27.4,11.8,692.3,15.7,0.3
32,5,200,68.6,40.4,38.4,21,26,36,61.6,38.6,1809,+27.9,6.0,621.3,15.9,0.3
32,5,225,53.4,48.2,45.4,20,26,43,54.6,29.2,823,+11.6,4.2,681.3,19.4,0.3
32,5,250,55.4,50.4,46.4,19,24,32,53.6,37.4,958,+21.9,20.1,717.7,18.1,0.3
32,5,275,56.2,50.0,46.4,19,23,28,53.6,36.2,831,+24.0,10.6,737.1,17.7,0.3
32,5,299,53.8,50.0,46.6,19,23,32,53.4,37.8,888,+22.3,9.2,724.7,18.0,0.3
32,6,25,7.2,1.8,0.6,35,57,72,99.0,34.8,1034,-3.9,20.8,64.7,29.7,0.3
32,6,50,18.4,13.2,9.0,30,40,55,91.0,47.0,977,+3.6,23.3,176.3,29.0,0.3
32,6,75,43.4,37.8,30.2,20,27,35,69.8,38.8,1201,+10.4,20.1,485.2,23.4,0.3
32,6,100,40.6,36.4,32.2,21,26,37,67.8,36.6,800,+10.6,17.0,506.9,22.9,0.3
32,6,125,50.2,41.4,36.0,21,27,37,64.0,31.0,821,+9.7,15.1,581.5,22.2,0.3
32,6,150,55.6,50.2,44.4,19,25,35,55.6,26.0,850,+10.1,13.7,696.6,18.7,0.3
32,6,175,49.2,42.2,39.8,20,25,34,60.2,33.2,812,+13.1,11.6,620.0,19.2,0.3
32,6,200,53.8,49.0,38.2,17,22,28,61.8,32.6,851,+7.1,21.9,638.0,21.6,0.3
32,6,225,51.6,50.0,47.4,18,24,33,52.6,15.2,630,+11.6,24.6,719.8,20.9,0.3
32,6,250,56.6,52.8,50.6,19,23,29,49.4,25.6,650,+18.2,22.3,781.7,19.4,0.3
32,6,275,57.0,54.8,50.0,17,22,29,50.0,20.8,518,+17.2,21.6,787.4,18.9,0.3
32,6,299,52.6,49.4,38.2,21,27,36,61.8,28.8,1015,+7.5,23.3,616.1,20.8,0.3
32,7,25,0.0,0.0,0.0,0,0,0,100.0,51.8,761,-1.5,35.0,42.9,26.3,0.3
32,7,50,16.6,8.0,7.2,27,41,56,92.8,64.4,1202,+6.3,20.6,151.4,25.1,0.3
32,7,75,25.8,19.6,14.4,31,40,51,85.4,43.8,1723,+8.2,31.3,236.1,25.7,0.3
32,7,100,31.6,20.6,14.6,27,35,43,85.4,50.0,1548,+4.6,40.3,257.3,25.4,0.3
32,7,125,25.0,19.8,17.0,22,28,41,83.0,46.8,1268,+5.3,28.5,279.2,25.3,0.3
32,7,150,39.8,26.8,23.4,23,27,35,76.6,50.2,1437,+14.1,25.6,392.2,21.9,0.3
32,7,175,37.4,30.0,23.4,18,21,30,76.6,45.6,992,+4.3,22.6,407.5,23.5,0.3
32,7,200,28.2,22.2,19.4,22,28,35,80.6,51.2,1025,+9.7,24.0,339.6,25.4,0.3
32,7,225,50.2,43.0,38.8,19,25,36,61.2,18.0,677,+10.6,26.1,616.4,24.1,0.3
32,7,250,45.6,35.4,29.4,18,23,31,70.6,41.8,930,+5.9,17.3,504.9,22.9,0.3
32,7,275,50.0,43.6,39.4,16,22,29,60.6,45.2,1074,+16.3,14.4,634.0,21.0,0.3
32,7,299,46.2,32.0,29.4,19,23,32,70.6,48.8,1309,+12.2,16.7,493.4,24.3,0.3
32,8,25,1.6,0.8,0.6,39,48,55,99.0,54.0,841,-3.2,34.3,57.9,26.7,0.3
32,8,50,18.0,9.6,8.6,29,38,52,91.2,45.8,926,+0.9,36.7,175.0,28.1,0.3
32,8,75,38.2,33.4,28.0,23,29,37,72.0,39.8,1057,+12.3,27.5,455.0,22.5,0.3
32,8,100,53.6,43.4,37.4,22,27,38,62.6,29.0,1199,+18.8,20.6,594.5,18.9,0.3
32,8,125,51.4,43.8,31.6,21,25,32,68.4,33.2,2030,+7.2,10.5,490.7,22.1,0.3
32,8,150,49.0,45.6,38.8,19,23,30,61.2,28.8,1766,+6.0,13.1,578.5,21.8,0.3
32,8,175,46.0,41.0,36.2,17,21,27,63.8,30.6,824,+8.7,9.6,588.9,22.8,0.3
32,8,200,51.0,47.2,44.6,19,23,32,55.4,24.2,856,+18.0,11.1,682.4,19.9,0.3
32,8,225,64.4,54.6,49.2,19,24,30,50.8,24.0,887,+17.1,21.5,775.6,17.9,0.3
32,8,250,54.0,49.4,44.8,19,23,29,55.2,23.2,889,+16.6,4.3,702.6,18.2,0.3
32,8,275,54.0,48.4,43.8,16,21,29,56.2,30.6,887,+19.3,18.5,703.0,19.3,0.3
32,8,299,47.8,40.0,35.0,15,19,29,65.0,38.8,1016,+14.0,11.7,581.8,24.0,0.3
